row_id,probe,condition,video_id,question_id,category_key,category_label,model_key,model_name,a_prior,a_visual,chosen_answer_type,is_correct,supports_logprob,logprob_prior,logprob_visual
29,I-A,original,orig_v_028,orig_q_028,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
30,I-A,original,orig_v_029,orig_q_029,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
31,I-A,original,orig_v_030,orig_q_030,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
32,I-A,original,orig_v_031,orig_q_031,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
33,I-A,original,orig_v_032,orig_q_032,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
34,I-A,original,orig_v_033,orig_q_033,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
35,I-A,original,orig_v_034,orig_q_034,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
36,I-A,original,orig_v_035,orig_q_035,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
37,I-A,original,orig_v_036,orig_q_036,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
38,I-A,original,orig_v_037,orig_q_037,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
39,I-A,original,orig_v_038,orig_q_038,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
40,I-A,original,orig_v_039,orig_q_039,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
41,I-A,original,orig_v_040,orig_q_040,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
42,I-A,original,orig_v_041,orig_q_041,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
43,I-A,original,orig_v_042,orig_q_042,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
44,I-A,original,orig_v_043,orig_q_043,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
45,I-A,original,orig_v_044,orig_q_044,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
46,I-A,original,orig_v_045,orig_q_045,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
47,I-A,original,orig_v_046,orig_q_046,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
48,I-A,original,orig_v_047,orig_q_047,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
49,I-A,original,orig_v_048,orig_q_048,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
50,I-A,original,orig_v_049,orig_q_049,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
51,I-A,original,orig_v_000,orig_q_050,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
52,I-A,original,orig_v_001,orig_q_051,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
53,I-A,original,orig_v_002,orig_q_052,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
54,I-A,original,orig_v_003,orig_q_053,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
55,I-A,original,orig_v_004,orig_q_054,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
56,I-A,original,orig_v_005,orig_q_055,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
57,I-A,original,orig_v_006,orig_q_056,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
58,I-A,original,orig_v_007,orig_q_057,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
59,I-A,original,orig_v_008,orig_q_058,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
60,I-A,original,orig_v_009,orig_q_059,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
61,I-A,original,orig_v_010,orig_q_060,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
62,I-A,original,orig_v_011,orig_q_061,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
63,I-A,original,orig_v_012,orig_q_062,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
64,I-A,original,orig_v_013,orig_q_063,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
65,I-A,original,orig_v_014,orig_q_064,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
66,I-A,original,orig_v_015,orig_q_065,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
67,I-A,original,orig_v_016,orig_q_066,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
68,I-A,original,orig_v_017,orig_q_067,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
69,I-A,original,orig_v_018,orig_q_068,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
70,I-A,original,orig_v_019,orig_q_069,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
71,I-A,original,orig_v_020,orig_q_070,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
72,I-A,original,orig_v_021,orig_q_071,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
73,I-A,original,orig_v_022,orig_q_072,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
74,I-A,original,orig_v_023,orig_q_073,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
75,I-A,original,orig_v_024,orig_q_074,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
76,I-A,original,orig_v_025,orig_q_075,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
77,I-A,original,orig_v_026,orig_q_076,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
78,I-A,original,orig_v_027,orig_q_077,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
79,I-A,original,orig_v_028,orig_q_078,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
80,I-A,original,orig_v_029,orig_q_079,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
81,I-A,original,orig_v_030,orig_q_080,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
82,I-A,original,orig_v_031,orig_q_081,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
83,I-A,original,orig_v_032,orig_q_082,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
84,I-A,original,orig_v_033,orig_q_083,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
85,I-A,original,orig_v_034,orig_q_084,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
86,I-A,original,orig_v_035,orig_q_085,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
87,I-A,original,orig_v_036,orig_q_086,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
88,I-A,original,orig_v_037,orig_q_087,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
89,I-A,original,orig_v_038,orig_q_088,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
90,I-A,original,orig_v_039,orig_q_089,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
91,I-A,original,orig_v_040,orig_q_090,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
92,I-A,original,orig_v_041,orig_q_091,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
93,I-A,original,orig_v_042,orig_q_092,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
94,I-A,original,orig_v_043,orig_q_093,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
95,I-A,original,orig_v_044,orig_q_094,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
96,I-A,original,orig_v_045,orig_q_095,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
97,I-A,original,orig_v_046,orig_q_096,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
98,I-A,original,orig_v_047,orig_q_097,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
99,I-A,original,orig_v_048,orig_q_098,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
100,I-A,original,orig_v_049,orig_q_099,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
101,I-A,original,orig_v_000,orig_q_100,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
102,I-A,original,orig_v_001,orig_q_101,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
103,I-A,original,orig_v_002,orig_q_102,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
104,I-A,original,orig_v_003,orig_q_103,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
105,I-A,original,orig_v_004,orig_q_104,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
106,I-A,original,orig_v_005,orig_q_105,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
107,I-A,original,orig_v_006,orig_q_106,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
108,I-A,original,orig_v_007,orig_q_107,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
109,I-A,original,orig_v_008,orig_q_108,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
110,I-A,original,orig_v_009,orig_q_109,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
111,I-A,original,orig_v_010,orig_q_110,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
112,I-A,original,orig_v_011,orig_q_111,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
113,I-A,original,orig_v_012,orig_q_112,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
114,I-A,original,orig_v_013,orig_q_113,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
115,I-A,original,orig_v_014,orig_q_114,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
116,I-A,original,orig_v_015,orig_q_115,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
117,I-A,original,orig_v_016,orig_q_116,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
118,I-A,original,orig_v_017,orig_q_117,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
119,I-A,original,orig_v_018,orig_q_118,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
120,I-A,original,orig_v_019,orig_q_119,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
121,I-A,original,orig_v_020,orig_q_120,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
122,I-A,original,orig_v_021,orig_q_121,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
123,I-A,original,orig_v_022,orig_q_122,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
124,I-A,original,orig_v_023,orig_q_123,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
125,I-A,original,orig_v_024,orig_q_124,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
126,I-A,original,orig_v_025,orig_q_125,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
127,I-A,original,orig_v_026,orig_q_126,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
128,I-A,original,orig_v_027,orig_q_127,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
129,I-A,original,orig_v_028,orig_q_128,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
130,I-A,original,orig_v_029,orig_q_129,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
131,I-A,original,orig_v_030,orig_q_130,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
132,I-A,original,orig_v_031,orig_q_131,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
133,I-A,original,orig_v_032,orig_q_132,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
134,I-A,original,orig_v_033,orig_q_133,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
135,I-A,original,orig_v_034,orig_q_134,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
136,I-A,original,orig_v_035,orig_q_135,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
137,I-A,original,orig_v_036,orig_q_136,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
138,I-A,original,orig_v_037,orig_q_137,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
139,I-A,original,orig_v_038,orig_q_138,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
140,I-A,original,orig_v_039,orig_q_139,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
141,I-A,original,orig_v_040,orig_q_140,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
142,I-A,original,orig_v_041,orig_q_141,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
143,I-A,original,orig_v_042,orig_q_142,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
